Código;Mídias Favoritas
3;1927,833,29,2699,1298,387,3486,1077,4710,3180,1768,51,1603,2371,2669,2968,4286,4362,403,4559,3147,3969
4;4771,642,4900,2502,4361,1090,2755,1668
5;1488,862,1092,3245,1081,2133,3842,86,4997,4241,4572,2837,2324,3054,4499,3479,3218,2865,1309,3044
7;3106,3776,3677,406,773,2668,3171,4332,4442,283,2690,4278,964,3914,3661,1673,4573
9;2421,153,4365,601,1686,4047,4087,674,4019,3754,189,2971,3553
13;440,4470,506,3060,4601,871,1142,3735,53,2780,2647,579,1539,398,4478,889,3964,1284,507,2795,269,1957,1982
17;3101,1704,4560,913,824
19;4618,1040,216,1945,4984,2610,362,2087,3435,3589,651,4935,4541,3140
22;3755,1511,616,1132,1461,4584,4485,16,3791,1604,647,492,1952
24;3865,3552,3080,3628,2706,750,1738,4862,4783,2716,4301,4677,4827,1187,463,1028,2655,4697,4034,1814,1807,2983,586
26;2698,4079,3041,1993,1956,1726,3485,2356,4538,2077,2241,3972,2779,101,4194,4941,833
30;2017,2677,1583,1197,2361,4032
35;1155,206,4685,4131,2230,3711,1863,900,4052,2467,4788,4764,666,437
36;1853,1511,3125,3168,3972,12,179,3714,595,3851,1733,1636,3651,1720,1078,2238,4784,2970,4705,1377,2275,3882,24,2386,3477
38;498,3125,1844,3257,1705,2596,377,3624,1803,2741,1192,3959,2706,48,3149,2071,1567,3065,1214,2330
39;1970,3331,1390,2958,1890,2204,2284,3844
41;4868,3528,4368,972,1777,2211,4473,2355,1020,3246,2114,1863,4039,3825,107,810,2378,58,1824,4714,4551
43;4652,3968,1357,1917,1973,3640,2195,3148,708,4783,4981
53;2224,4321,1589,1554,2187,870,572,2872,1328,3924,235,61,984
54;1430,3529,4462,957,3707,2331,399,1563,1227,4358,1024,904,163,3469,2748,2004,3294,2522,3801,1862
56;2772,1985,663,234,1485,3717,3763,3276,3010,4668,206,1811,2972,4618
60;3209,4119,48,165,3475,2826,4734,2702,141,4847,4123,4166,1933,1000,4638,2564,4621,4568
64;4173,2666,3800,218,3423,3794,1285,1243,678,114,4923,3580,4026,4223,2604,2130
65;1182,1029,4278,2053,2110,3497,236,3594,1628,2708,3039,2605,2500,1048,4149,1962,725,1660,4529,1227,2495,1449,237,2963,4176,2939
66;2701,4884,1395,676,3874,1079,3365,84
69;4109,76,3208,4549,3508,828,3986,1418,3258,4175,3687,4229,2366
70;2459,3587,4986,3527,4682,3542,3256,2587,820,3473,790,3413,2758,618,4187
71;4794,2845,2134,4021,3970,112,2909,1952,2174,3371,3421,1086
72;4056,3408,2311,2392,667,3742,3664,1433,1876,657,3068,4086,418,633,1110,3596,1223,3159,4015
76;3470,59,1636,2821,2731,770,2689,1232,4638,4881,3028,478,2893,4522
80;41,188,596,4666,3705,3228,2500,571,1819,1472,140,4216,3319,4989
81;1729,4304,4963,4583,156,3946,1217,3094,4957,1426,1017,995,3697,2664,656,200,2297
83;435,4062,3955,784,1372,1193,305,3814,1526,4836,661,3761,3150,82,1482,1461,2159,3667,3179,3089,2672,2706,3299,3643
88;1629,2998,546,2635,2337,887,2276,2753,1763,4999,1287,4099,2449,734,112,3113
90;2753,4198,3116,56,1849,4551,677,2514,1539,2624,334,2218,3651,1190,2787,612,1400,4307,498,39,63,1316
93;60,3254,1598,3486
94;3119,3849,743,1984,3767,1251,3083,1250,2633,2812,3347,2137,1319,2092,382,4109,4755,1312,645
96;4673,2832,3139,3946,3014,3478,2426,1277,4403,1994,3793,2995,1224,3415,5000,906,3071,3607,10
100;2526,585,2262,3440,3775,918,3179,1660,4611,136,4741,374,3774,2129,3035,3794,2457,1578,4925,2541,2132,2503
101;2494,699,1685,1168,2956,1178,957,4806,2294,1488,944,1258,2372,3522
105;2886,1772,3713,4497,1458,648,803,4401,4577,1899
107;883,220,350,2408,3678,1908
110;1697,2011,4746,2760,128,1240,3623,4716,2883,1956,3162,4912,2962,3252,1132,2603,1781,4442,2364,1149,3686,1164
112;4337,4452,938,910,3674,2819,1004,1895,124,586,3341,1926,1487,1210,4217,1035,2845
120;3557,1290,565,3409,2644,4549,323,3950,4798,4559,4253,4926,1515,4157,4113,3614,4706,2205,4315,224,1335,2348,3923,3929,3895,2186,2236
124;4783,925,27,465,1295,1338
125;468,1006,4723
126;1722,1621,3801,1272,4839,4152,2720,327,1446,4658,423,2501,1782,2080,3766,1382,943,1001,1353,549,2953,3818,1596,3594,1350,4634,3820,4913,1525,2625,1436
132;2903,3260,1346,2782,2746,2642,2074,984,3409,1981,4295,3125,787,2791,3620,1495,2243,3508,4722
140;559,4632,1682,4099,571
143;1220,4555,2440,4491,1406,1537,1362,4983,1377,2287,3379
148;3749,3955,4433,2228,2289,2637,3821,1498,3569,869,327
152;4761,177,1496,97,2305,4737,3599,4433,210,4413,2820,4711,1160,3794,2265,2138,4382,2915,3306,1,1637,2094,2419,1646,3710,1363,4177
155;3806,1249,3055,130,2184,2824,579,3927,3366,2405,4502,3138,3619,3493,2089,2419,3623,3590,3759,2419,15
156;4673,4075,4477,2544,1944,4991,4481,1634,915,433,74,2140,1455,288,2658,4687,1994,2969,1056,555
157;4606,3830,1677,4588
160;79,3595,2947,4251,1022,4966,1817,2505,4948,1378,1838,2612,3304,3542,1840,3686
165;1206,2646
166;4484
168;3069,2234,2547,4070,2140,1733,932,2098,2491,37,1736,2420,3512,3874,3951,3817
177;2764,1829,4023,4717,4541,4411,1182,3926,3612,4191,3817,1410,3076,528,298,3557,3108
179;592,442,1103,591,3941,3800,341,4496,4766,4053,478
183;1609,4662,4426,517,2985,769,1280,3387,2119,4366
184;4056,3503,2336,164,1685,3569,3505,2791,4583,1311,1194,4144,1936,2181,4415,519,3965,1010,2771,3715,1882,636,3287,2660,1111,4003,3326,710,3714,455
185;4715,1988,2418,525,642,4875,406,1723,4868,1353,3949,2641,4605,1251,1134,927,669,4518,4357,205,755,170,689,2065,2867,2106,4632,4987,376,2428
187;2290,2203,1157,3272,4438,4445,2078,1652,771,769
188;3426,226,373,3542,1549,3488,2039,1751,1365,4554,3642,1632,1864,469
191;181,4823,3233
192;2976,4223,4961,2836,4905,1698,788,3391,189,494,4281,1278,703,2011,2947,936,982,2761,3000,1965,3096,855
197;409,573,3211,3497,18,742,1040,4388,4473,183,2013,2502,4235,801,2480,3563,718,4462
201;1948,4379,2570,1547,4151,4188,4958,2329,4416,2006,883,2525,2140,138,872,820,213
203;2453,461,3578,751,3632,3111,3866,3497,145,4880,2260,3451,2339,1685,3763,2560,4672,2224
205;2909,1710,1753,811,2452,2504,1676,1435,473,2306,4727,403,981,679,3829,1677
206;2459,1214,3001,4789,3234,3964,2901,3314,2395,2266,2170,1434,337,949,2514,589,1286,34,597,4968,4595,910,2199,3800,1459,543
208;3543,2463,19,1078,2746,1392,2651,4106,4026,4436,4497,178
210;866,2829,79,2671,4459,1156,526,469,4348,2551,2376,4923,1821,3961,464
212;3161,627,3184,4465,3993,2154,1830,1299,215,4779,2020,3709,883,124,1937,1547,3349
213;4746,2999,3292,3048,3794,2402,105,267,4883,4126,4066,1446,3352,138,1779,3721,3428,4388,923,1651,2853,779,3155,4520,195,983
215;4761,2041,2837,2661,2405,2830,233,3132,3991,1531,2438,1077,3731,106,1788,2052,4748,1735,4801,4489,4874,4083
218;4778,3330,3228,1746,937,3538,292,2096,4868,92,391
227;297,3288,3081,2965,918,3866,2117,651,1334
228;4197,39,186,2293,855,2007,3865,756,3661,1138,4370,4042,2084
232;3803,2533,3150,4890,1763,542,3226,2569,1135,2216,1251,4391,579,1813,3396,4247,894,4212,2056,3338,1156,2547,3212,1513
235;2903,3645,4631,3666,335,2773,3949,3981,3515,3998,2488,611,803,4753,4217
237;443,4575,513,3279,2355,2448,955,2583,2087,4158,3519,3549,2671,1366,314,1900,3668,2079,2120,1505,3627,4795,3876,2640,807,1621,3526
238;1554,1288,294,3700,4304,4339,3018,3312,789
242;2433,4649,1348,2620,4646,3242,4091,1163,1802,1944,4672,1510,4834,359,2400,2277,2836,1227,2807,4508
244;1970,1411,3288,1785,2439,3544,4981,3545,740,523,3356,2927,4557,4102,2960,3698,1407,4453,1560,3259
247;179,3947,2972,3033,4740,2999,3938,1056,1068,35,3069,9,3056,4210,1528,4270,1506,1015
248;180,1765,736,2724,1350,1487,2613
251;3791,4584,2001,1650,1733,3154,1540,3084,4381,266,3298,1093,3839,857,4094,4340,3159,3668,3379,4700
252;80,670,1030,313,2178,3628,2030,2786,3439,1761,3787,159,4556,4412,3601,77,2948,45,3648,107,4897,4296,2431,1803,1548
254;3221,3588,4878,497,2154,1315,1273,303,4267,4770
256;1181,4634,2020,3166,1309,4875,2842,4272,3647,769,1340,1957,2054,2897
262;2306
266;3101,908,2318,2150,561
271;1161,1815,2019,1172,4902,3932,4658,4805,2170,4493,629,888,3402,4286,1039,2837,2497,2152,1751,1349
273;2943,4162,906,2736,3472,2667,3959,865,1300
275;1223,2969,4808,1258,4492,2676,3417,2899,1710,2514,2274,1171,3970,2440,3438,2073,102,2812,4205,3705
276;1234,3521,4183,4547,4519,4319,612,690,2086,4010,56,4889,1543,4368,4921,823,494,1701,2123,4950,2678,2037,2254
280;2366,1933,2907,810,2368,962,1835,4502,2998,2623,846,2202,11,843,3479,697,3607,2400,1325,753,1083,2659,1989,855,3099,4565,2937,3599,3539
284;2508,4792,3285,1023,2906,369,3375,303,3675,2455,198,3014,2594,3663,3315,1345,631,2626,551,3002,1697,1236,3862,679,3881
287;1726,2607,3058,2126,1521,2839,634,250,4192,3531,2559,4299,485,2347,654,4350
288;1054,3341,3031,2882,3507,875,3654,4775,405,1874,558,311,509,836,1401,199,141,4684,1250,1444,2700,2248
289;2334,811,3654,2471,3540,2341,1356,4327,3039,2222
290;4863,970,4679,3946,1292,829,4267,3534,4770,1561,2491,454,2655,278,2783,3947,831,2438,3546,3898,296,1141,3908,2703
292;4661,4208,4650,4542,3790
294;4895,4388,4080,2417,139,3580,4759,1068,3330,809,263,4626,3017,2514,4238,1661,790,2804,536,3479,1367,2622,4845,4954
295;4479,1469,4265,664,1161,4903,4894,95,3333,3340,4465,1569,4948,2466
297;1734,493,2786,3563,48,708,2905,3321,275,2249,182,2471,3284,384,1040,1590,761,654,432,1637,3054,2384
298;2957,2471,1756,2964
302;890,1061,3505,1004,611,4884,4158,352,3716,2459,3773,1054,3959
304;4633,1349,2478,4046,3398,1560,3062,4812,585,1782,728,2815,584,3213,3597
310;2648,1030,3943,538,4151,3982,3326,1136,3220,1093,1089,1926,1872,1739,1470,3849,3460,1692,1108
311;4000,4613,2375,1841,329,920,1953,3447,3528,3338,618,2909,724,1670,4,3791,4419,3751,2050,1176,1263,4503,3522,2872,4355,401,1064
316;4371,3696,1178,4177,2658,3905,1504
317;3847,2714,4750,4094,1143,1249,2537,4013,1069,1687,4138,395,3196,1013,4829,1330,3633,4653,3323,51,2194,4044,3849,3560
318;3606,1354,2378,4950,1656,44,4552,3532,587,2170,1905,4498,385,3030
320;4263,2691,9,2432,4197,1758,2546,4420,3875,3052,2096,1686,4761,4423,4528,2632,262,2545,936,666,3490,1503,3873,4102,3699
326;288,3058,4878,2903,824,1132,3478,392,1829,3095,2949,647,3086,4461,2363,2953,1171,1702
329;2733,415,4849,1973,680,3027,4404,3063,599,149,3153,1142
330;2995,2852,3062,3107,924,2177,3141,4774,1740
335;1139,3219,697,3486,2718,512,4362,2946,664,4235,601,4677,2195,3761,3295
340;1172,52,386,1279,1288,2739,1650,920,2806,2754,320,4470,2031
343;3496,3968,2458,2964,4914,4561,2015,147,1524,160,3843,166,4931
344;1080,1369,531,4156,3933,1857,2069,3857,2218,141,3755,539,4784
348;2251,4875,1699,3008,1525,2643,2715,4899,1017,1003,3744,1109,3067,4429,2199,4154,1066,4736,3940,2409,3802,4131,3434,3929,2625,3896,203,1410,511,1247,3958,2754,4301
350;3741,4242,4529,3863,4244,4452,259,4871,1370,3693,204,2714,789,1973,436
351;2309,2669,3661,3205,3851,4728,3741,2590,3996,1982,1556,2147,3965,1591,2400,3,3025,408,4343,2432,2698,1816
352;1753,1659,4499,1476,2175,4095,1310,1311,2588,3356
353;3269,583,3895,1386,4019,2323,4237,1636,2467,687,3444,537,2640,2801,3532,4917,4157,2883
355;4864,1641,4517,4210,2345,2585,648,4433,1421,4895,639,1717,4581,941,4008,4698,4181,851,853,3886,4214,1418
356;2388,383,3106,517,708,2047,3642,1319,3424,2779,156,1163,3886,417,3290,3377
359;4944,2842,4586,3252,711,4945,2472,3207,1796,2866,4266,4317,3871,64,2900,2223
360;826,4166,4807,3788,3881,2706
363;2322,1815,4493,3595,380,4480,4824,4491,4169,978,3937,4689,3886,4710,1274,2454,4124,4040,2338,1348
366;2197,3321,3360,417,4827,3561,670,3999,1345,3949,3365,3117,2171,3801,4479,4387,938,3826,4871
367;3635,2441,1938,1805,2654,2627,1059,2688,1491,2358,865,3421,144,3753,1935,724,336,2068,3750,405
374;3919,4299,2006,412,4704,762,199,4965,4820,3406,1300,3455,4636,4598,243,859
375;4887,2219,4150,1062,553,312,3662,3112,1333,2957,4877,3502,4974,512
377;1380,2209,3626,3294,1447,2088,334,3412,2775
378;1708,1612,1426,3970,336,520,975,1425,322,419,4012,4614,575,2027,500,3342,1097,269,2541,2586,2766,3457,2146,3293,116,1528,225,2319,2515,1933
379;2970,2844,4928,3087,3761,3050,4847,2976,934,3686,2215
386;1600,4618,2354,1819,3322,3130,804,3502
389;573,2545,1162,2972,4110,236,4109,2663,3131,1782,588,1032,3331
393;2717,4662,2542,3848,2598,4990,1277,1015,4861,869
406;4021,3422,591,1941,210
408;453,3630,3267,4811,3648,4010,4520,3762,3140,3948,4283,48,614,3656
415;2328,3049,4661,2495,4007,1491,4747,2811
417;4097,2739,1756,1569,3622,1213
418;822,1193,3642,4023,206,4552,512,3953,4322
420;1828,4850,1720,747,252,963,2168,3368,2169,3282,1940,1539,3837,4591
422;1813,3400,137,4264,2824,4449,4684,622
425;1521,3212,291,2711,3940,3242,3654,2761,448,505,1517,1744,3468,2381,2876,1282,2084,4708,501,3494,3286,974
429;4251,2836,4828,1632,34,4324,173,472,1299,4976,1547
430;958,2411,76,3584
433;3724,3605,1527,812,3815,461,4167,1614,4445,3549
434;3751,2559,161,355,1298,1567,492,2490,90,4390,3828,4619,1976,4687
436;2254,1586,3595,4721,2465,1104,1899,535,4147,3604,2674,1490
437;4353,2684,2809,2733,4144,857,3250,415,4986
439;1773,3454,2070,340,2386,4256,2298,3738,513,4280,76,957,1839,105,2775,3031,3825,1601,2032,763,3969,83,2655,376
442;4167,2601,271,5000,2597,172,111,412,516,4899,1967,3844,3724,4208,3832,761,1489,4246,142,3083,1594,4028
444;3998,1252,2361,3166,2905,2224,3164,979,2914,1097,2857
447;4458,446,1515,1060,2815,344,1069,3687,3299,4937
453;1010,2142,1830,1357,1161,3995
454;4129,3177,4725,2759,1011,3653,4993,1049,3128,4594,3480,2262,3815
455;2713,2627,4238,1525,4838,4923,2624
456;4863,366,4186
458;4194,2249,625,1461,757,4967,422,3102,1104,2831,1134,2748,2415
459;4623,2628,1866,3946,3826,1157,1426,1436,4112,2984,1335,1241,128,2236,4123,717,4136,91,4824,2453,163,2944,2185,909,3606,931,3010,2271,809,256,2341
461;2764,366,4718,467,3946,2599,209,4910,292,2979,4420,3371,481,1497,647,3433,2537,3325,3774,391,2553,1385,175,3524,2089,638
462;3399,3232,1230,2799,664,4826,4920,3087,3002,2318,4823,4442,660
464;3821,490,2297,4709,2496,3943,3153,2024,434,703,4262
465;2169,2554,1848,3881,152,2073,2884,2564,1439,3327,639,1232,3199,21,1726,2529,4190,2709,1126,4165,3636,2299
471;3822,3200,3508,2356,4045,1977,4447
477;4396,1646,1058,3041,2953
481;3387,3164,1753,1218,2642,4659,990,552,376,4107,3028,4170,3691
482;1519,132,3010,2419,4562,1760,1648,502,4939,4290,1406,1298,4683,2940,266,1701,4591,4289,3027
483;1957,3350,1758,4851,1605,1635,3595,1392,2933
484;4182,3996,2373,4340,255,58,2943,3241,2236,4784,2075,1104,3794,3850,4587,4312,2279,2578,1316,127,3284
486;1261,628,1832,1377,2383,1860,4377,4018,4911,1654,681,579,3902,1696,1953
489;1365,2354,420,1953,4009,2381,978,1043,1159,2128,853,1745,866
493;1649,4965,1731,1665,3161,631,4972
494;2325,4089,4533,388,3173,2015,67,2645,741,2264,3458,3797,232,3484,2112
496;3964,91,3564,4270,2872,665,563,758,4498,3070,881,3598,3565,1057,4708,472,2712,265
500;3186,2724,4451,1561,1182,4346,2363,4667,167,1266,2458,4944,794,1155,2494,3265,1357,3100,4620,1521,2966,4758,1720,43,1057,1624,1881,4416,570,866,1105,2247,879,2556,4835,3263
