Sigla;Nome
AD;Advice
AR;Arts
AU;Automobile
BA;Business and finance
CA;Comedy and humor
CB;Comic book
CR;Crime
ED;Educational
FE;Feminist
FA;Film and television
HI;History
HO;Horror
IN;Interview
LA;Law
LG;LGBT-related
MU;Music
PH;Philosophy
PO;Political
RA;Religion and spirituality
SF;Science fiction
SC;Science
SP;Sports
TA;Talk
TE;Technology
VG;Video game
KU;Kulintang
CP;Ca pe lunca
DP;De pahar
MB;Mbube
CM;Christmas music
GA;Gamelan angklung
CH;Cha-cha-cha
PB;Piano blues
NA;New age music
JI;Jibaro
ID;Intelligent dance music
LI;Likanos
MÉ;Méringue
HR;Heartland rock
JP;Japanese pop
BM;Breton music
RR;Roots reggae
DA;Drum and bass
PL;Plainchant
FI;Finger-style
FR;Funk rock
CC;Contemporary christian music
EL;Easy listening
HB;Hard bop
YO;Yo-pop
HU;Hiva usu
BB;British blues
LR;Lovers rock
BO;Boogie
SU;Suite
SK;Skiffle
IP;Indonesian pop
PA;Patriotic
CS;Csárdás
MA;Marinera
MS;Minstrel show
TP;Taiwanese pop
OB;Obscuro
CF;Coimbra fado
WF;World fusion music
CY;Cybergrind
NS;Nashville sound/countrypolitan
PP;Ppongtchak
RO;Rondeaux
AC;Acousticana
PR;Punta rock
MI;Mineras
ZE;Zeuhl
MO;Modinha
RU;Rumba
OR;Orgel
SE;Semba
JS;Jamrieng samai
PU;Paisley underground
KA;Kayōkyoku
NO;New orleans blues
PD;Progressive death metal
FO;Forró
NJ;Nu jazz
TB;Texas blues
DM;Doom metal
HH;Hapa haole
GR;Gangsta rap
RP;Russian pop
HA;Hakka
SW;Swing
PS;Philadelphia soul
TI;Tinku
TJ;Trad jazz
CV;Cumbia villera
SR;Southern rock
VI;Villanella
CO;Cocobale
OL;Olonkho
NI;Nisiótika
BD;Blackened death metal
NR;New romantic
KW;Kwela
SM;Sludge metal
FM;Free music
QA;Qasidah
DD;De dragoste
DR;Desert rock
MT;Melodic trance
GK;Gwo ka
DU;Dubtronica
JE;Jenkka
JJ;Juke joint blues
OS;Old school hip hop
SH;Shidaiqu
SA;Salsa
TC;Truck-driving country
HM;Hardcore metal
DC;Dark cabaret
LF;Liquid funk
KD;Khelimaski djili
JU;Juju
DO;Doomcore
BS;Bakersfield sound
DF;Deep funk
NB;Nu breaks
AA;Ars antiqua
LL;Le leagan
ZI;Ziglibithy
MC;Música campesina
BE;Benga
DJ;De jale
AP;African popular music
EU;Europop
RE;Reggaeton
KO;Kawachi ondo
DE;Deathcore
MD;Música de la interior
EC;East coast blues
OP;Operatic pop
SI;Sinawi
IS;Isicathamiya
GP;Gypsy punk
JR;Jazz rap
VJ;Vocal jazz
KE;Kecak
VE;Verbunkos
JA;Jaipongan
ML;Modern laika
EA;Electronic art music
WM;Were music
KR;Kiwi rock
WO;Worldbeat
DW;Doo wop
WA;Waila
MM;Medieval metal
HY;Hyphy
DH;Dhimotiká
ME;Mezwed
PM;Psychedelic music
EN;Experimental noise
BH;Bhangragga
MR;Mafioso rap
XO;Xoomii
JF;Jazz fusion
FH;Funky house
KÉ;Kélé
PF;Pop folk
MJ;Mushroom jazz
EM;Emocore
SO;Songo-salsa
LP;Latin pop
NC;Nueva canción
PE;Power electronics
JK;Jamana kura
AM;Alternative metal
RH;Rhapsody
KP;Korean pop
NG;Nganja
PI;Pimba
GO;Goa
GH;Ghazal-song
IM;Igbo music
EE;Eremwu eu
UP;Uplifting
SB;Symphonic black metal
2T;2 tone
DI;Disco
KL;Klape
ZA;Zapin
SS;Southern soul
TR;Tropicalia
UM;Underground music
GG;Gamelan gede
PW;Palm wine
ND;Neue deutsche welle
GS;Gamelan semar pegulingan
VM;Visual music
CL;Classic
IT;Itsmeños
